Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,31,3,T:System.Windows.Controls.DataGridTextColumn,,,,,"projCol1.Binding = new Binding(""ThisSolutionProjectPath"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,31,3,T:System.Windows.Data.BindingBase,,,,,"projCol1.Binding = new Binding(""ThisSolutionProjectPath"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,31,3,P:System.Windows.Controls.DataGridBoundColumn.Binding,,,,,"projCol1.Binding = new Binding(""ThisSolutionProjectPath"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,30,3,T:System.Windows.Data.Binding,,,,,"projCol0.Binding = new Binding(""ThisSolutionProject"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,30,3,M:System.Windows.Data.Binding.#ctor(System.String),,,,,"projCol0.Binding = new Binding(""ThisSolutionProject"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,30,3,T:System.Windows.Controls.DataGridTextColumn,,,,,"projCol0.Binding = new Binding(""ThisSolutionProject"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,30,3,T:System.Windows.Data.BindingBase,,,,,"projCol0.Binding = new Binding(""ThisSolutionProject"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,30,3,P:System.Windows.Controls.DataGridBoundColumn.Binding,,,,,"projCol0.Binding = new Binding(""ThisSolutionProject"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,28,3,T:System.Windows.Style,,,,,solCol1.ElementStyle = DataGridTextColumnElementStyle;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,28,3,T:System.Windows.Controls.DataGridTextColumn,,,,,solCol1.ElementStyle = DataGridTextColumnElementStyle;
